NAME,COSMIC,TISSUE,TISSUE_SUB_TYPE
22RV1,924100,urogenital_system,prostate
23132-87,910924,digestive_system,stomach
5637,687452,urogenital_system,Bladder
639-V,906798,urogenital_system,Bladder
647-V,906797,urogenital_system,Bladder
697,906800,blood,lymphoblastic_leukemia
769-P,910922,kidney,kidney
786-0,905947,kidney,kidney
8-MG-BA,687562,nervous_system,glioma
8305C,906795,thyroid,thyroid
8505C,924102,thyroid,thyroid
A101D,910921,skin,melanoma
A172,687563,nervous_system,glioma
A204,910784,soft_tissue,rhabdomyosarcoma
A2058,906792,skin,melanoma
A253,906794,aero_digestive_tract,head_and_neck
A2780,906804,urogenital_system,ovary
A3-KAW,910935,blood,B_cell_lymphoma
A375,906793,skin,melanoma
A388,910697,skin,skin_other
A4-Fuk,910934,blood,B_cell_lymphoma
A427,910851,lung,lung_NSCLC_not_specified
A431,910925,skin,skin_other
A498,905948,kidney,kidney
A549,905949,lung,lung_NSCLC_adenocarcinoma
A673,684052,soft_tissue,rhabdomyosarcoma
A704,910920,kidney,kidney
ABC-1,906791,lung,lung_NSCLC_adenocarcinoma
ACHN,905950,kidney,kidney
ACN,906803,nervous_system,neuroblastoma
AGS,906790,digestive_system,stomach
ALL-PO,910944,blood,lymphoblastic_leukemia
AM-38,910933,nervous_system,glioma
AN3-CA,910781,urogenital_system,endometrium
ARH-77,906765,blood,Myeloma
ATN-1,910687,blood,lymphoblastic_T_cell_leukaemia
AU565,910704,breast,breast
AsPC-1,910702,pancreas,pancreas
BALL-1,910705,blood,B_cell_leukemia
BB30-HNC,753531,aero_digestive_tract,head_and_neck
BB49-HNC,753532,aero_digestive_tract,head_and_neck
BB65-RCC,753533,kidney,kidney
BC-1,910919,blood,B_cell_lymphoma
BC-3,910918,blood,B_cell_lymphoma
BCPAP,924104,thyroid,thyroid
BE-13,906763,blood,lymphoblastic_leukemia
BEN,753534,lung,lung_NSCLC_not_specified
BFTC-905,910926,urogenital_system,Bladder
BFTC-909,910698,kidney,kidney
BHT-101,906696,thyroid,thyroid
BHY,753535,aero_digestive_tract,head_and_neck
BL-41,910706,blood,Burkitt_lymphoma
BL-70,910707,blood,Burkitt_lymphoma
BOKU,753536,urogenital_system,cervix
BPH-1,924105,urogenital_system,prostate
BT-20,906801,breast,breast
BT-474,946359,breast,breast
BT-549,905951,breast,breast
BV-173,910710,blood,chronic_myeloid_leukaemia
Becker,906746,nervous_system,glioma
BxPC-3,906693,pancreas,pancreas
C-33-A,687505,urogenital_system,cervix
C2BBe1,910700,digestive_system,large_intestine
